"T_val","DD_val","Stage","CM","CM_lower","CM_upper"
16.5,165,"O",0.150260239661408,0.00381418386860377,0.999985855284318
18.5,185,"O",0.350326464585569,0.00925427910298471,0.999999999999834
20.5,205,"O",0.828319656444707,0.0259324246727929,1
12.5,137.5,"O",0.0288641886254094,0.000652975192637406,0.854146515216347
14.5,159.5,"O",0.0614218023391885,0.00174448138893157,0.980331907790423
16.5,181.5,"O",0.154831250802454,0.00417619871366792,0.999986943357216
18.5,203.5,"O",0.357138590203804,0.00985397087612061,0.999999999999862
20.5,225.5,"O",0.831819969220647,0.0269062502758662,1
12.5,150,"O",0.030151818226043,0.000769094064862363,0.856339409914807
14.5,174,"O",0.063828084601757,0.00193860739485796,0.980987159251898
16.5,198,"O",0.159018541818685,0.00449641772209164,0.999987907371937
18.5,222,"O",0.363286598941718,0.0103751583005453,0.999999999999884
20.5,246,"O",0.834917958242942,0.0277376099545943,1
12.5,162.5,"O",0.0313598790061533,0.00087519906368172,0.858425740399507
14.5,188.5,"O",0.0660605479299458,0.00211291870998842,0.981597633704246
16.5,214.5,"O",0.162855898585511,0.00477888092309997,0.999988766603988
18.5,240.5,"O",0.368840177871779,0.010826681549809,0.999999999999902
20.5,266.5,"H",0.854451566028113,0.0295260566131555,1
12.5,175,"O",0.0324933762597902,0.000971974216943394,0.860415377610374
14.5,203,"O",0.0681321070869478,0.00226908430667683,0.982168367811609
16.5,231,"O",0.166373893999406,0.0050273797804905,0.999989536692453
18.5,259,"H",0.38837849609225,0.0113406594854629,0.999999999999985
20.5,287,"H",0.888766502402352,0.0330352176320577,1
12.5,187.5,"O",0.0335569900561997,0.00106008212825415,0.862317084231464
14.5,217.5,"O",0.0700546689636737,0.00240869011710843,0.982703692582366
16.5,247.5,"O",0.169600228743807,0.00524544599003063,0.99999023042555
18.5,277.5,"H",0.425348277761612,0.0122866707917841,1
20.5,307.5,"H",0.937350273698205,0.0398726962923341,1
12.5,200,"O",0.0345550975763834,0.00114016088122137,0.86413865781695
14.5,232,"O",0.0718392176408466,0.00253323342392997,0.983207347794032
16.5,264,"H",0.179890296707606,0.00546446170926973,0.999995178063303
18.5,296,"H",0.49217401020542,0.0140204167859347,1
20.5,328,"H",0.981608765688192,0.0530730663234952,1
12.5,212.5,"O",0.0354917937783084,0.00121282156795133,0.865887053234386
14.5,246.5,"O",0.073495891446038,0.00264411928698627,0.983682575562696
16.5,280.5,"H",0.19850552667745,0.00584118476162976,0.999998800689855
18.5,314.5,"H",0.602570707771787,0.0171832489562294,1
20.5,348.5,"H",0.998656942056067,0.0782094471963587,1
12.5,225,"O",0.0363709105309176,0.00127864641392283,0.867568487723165
14.5,261,"H",0.0768969279969773,0.00271496868140519,0.986511294297592
16.5,297,"H",0.231684415496575,0.00648715617670892,0.999999923324576
18.5,333,"H",0.755554015507693,0.0229224430656475,1
20.5,369,"H",0.999994970186459,0.125000386702489,1
12.5,237.5,"O",0.0371960343437642,0.00133818745999648,0.869188531289471
14.5,275.5,"H",0.0826838363969726,0.00282904251891558,0.990453948743105
16.5,313.5,"H",0.289227224706256,0.00759135121068066,0.999999999670505
18.5,351.5,"H",0.906746813750363,0.0332659367914445,1
12.5,250,"O",0.0379705228071942,0.00139196575403833,0.870752184692454
14.5,290,"H",0.0924955813496697,0.00301228142951016,0.994912105472389
16.5,330,"H",0.384147396146641,0.00947269921099791,0.999999999999993
18.5,370,"H",0.986201494781231,0.0517289201349785,1
12.5,262.5,"H",0.0392022342103345,0.00141827901822555,0.878557305319066
14.5,304.5,"H",0.109031220513953,0.00330595268871081,0.998385508525693
16.5,346.5,"H",0.527017296550392,0.0126668354846231,1
12.5,275,"H",0.0411550002758275,0.00145791495750103,0.890583536117188
14.5,319,"H",0.136612240293387,0.00377556313994942,0.999801930698056
16.5,363,"H",0.709083540510192,0.0180673673022439,1
12.5,287.5,"H",0.0442479165645839,0.00151751609785744,0.908138595146925
14.5,333.5,"H",0.181812295836201,0.00452485678088987,0.999995754998177
12.5,300,"H",0.0491390999021402,0.00160699019825639,0.931521221483752
14.5,348,"H",0.25369017588356,0.00571770906126023,0.999999996324223
12.5,312.5,"H",0.0568551039616819,0.00174109406754963,0.958224653317685
14.5,362.5,"H",0.362277228487691,0.00761218156174648,0.999999999999991
12.5,325,"H",0.0689799573011159,0.00194177534960738,0.981833480245995
12.5,337.5,"H",0.0879151925057433,0.00224162921135729,0.995543061373665
12.5,350,"H",0.117196869542378,0.00268899071451578,0.99958512277934
12.5,362.5,"H",0.161777730601123,0.00335541874688361,0.999992529832444
