curve.id,stressor.label,stressor.x,units.x,response.label,response.y,units.y,plot.type
c1,Cumulative degree days,1802.763819,C*d,Downstream migration probability,0.102990033,probability,scatter
c1,Cumulative degree days,1934.673367,C*d,Downstream migration probability,0.102990033,probability,scatter
c1,Cumulative degree days,1652.01005,C*d,Downstream migration probability,0.1910299,probability,scatter
c1,Cumulative degree days,1636.934673,C*d,Downstream migration probability,0.204318937,probability,scatter
c1,Cumulative degree days,1708.542714,C*d,Downstream migration probability,0.184385382,probability,scatter
c1,Cumulative degree days,1750,C*d,Downstream migration probability,0.187707641,probability,scatter
c1,Cumulative degree days,1723.61809,C*d,Downstream migration probability,0.207641196,probability,scatter
c1,Cumulative degree days,1652.01005,C*d,Downstream migration probability,0.234219269,probability,scatter
c1,Cumulative degree days,1652.01005,C*d,Downstream migration probability,0.27076412,probability,scatter
c1,Cumulative degree days,1704.773869,C*d,Downstream migration probability,0.254152824,probability,scatter
c1,Cumulative degree days,1746.231156,C*d,Downstream migration probability,0.227574751,probability,scatter
c1,Cumulative degree days,1746.231156,C*d,Downstream migration probability,0.242524917,probability,scatter
c1,Cumulative degree days,1765.075377,C*d,Downstream migration probability,0.234219269,probability,scatter
c1,Cumulative degree days,1798.994975,C*d,Downstream migration probability,0.217607973,probability,scatter
c1,Cumulative degree days,1870.603015,C*d,Downstream migration probability,0.239202658,probability,scatter
c1,Cumulative degree days,1896.984925,C*d,Downstream migration probability,0.259136213,probability,scatter
c1,Cumulative degree days,1832.914573,C*d,Downstream migration probability,0.264119601,probability,scatter
c1,Cumulative degree days,1825.376884,C*d,Downstream migration probability,0.277408638,probability,scatter
c1,Cumulative degree days,1844.221106,C*d,Downstream migration probability,0.280730897,probability,scatter
c1,Cumulative degree days,2043.969849,C*d,Downstream migration probability,0.222591362,probability,scatter
c1,Cumulative degree days,1998.743719,C*d,Downstream migration probability,0.265780731,probability,scatter
c1,Cumulative degree days,2145.728643,C*d,Downstream migration probability,0.280730897,probability,scatter
c1,Cumulative degree days,2175.879397,C*d,Downstream migration probability,0.279069767,probability,scatter
c1,Cumulative degree days,1444.723618,C*d,Downstream migration probability,0.313953488,probability,scatter
c1,Cumulative degree days,1538.944724,C*d,Downstream migration probability,0.333887043,probability,scatter
c1,Cumulative degree days,1667.085427,C*d,Downstream migration probability,0.322259136,probability,scatter
c1,Cumulative degree days,1738.693467,C*d,Downstream migration probability,0.310631229,probability,scatter
c1,Cumulative degree days,1746.231156,C*d,Downstream migration probability,0.340531561,probability,scatter
c1,Cumulative degree days,1765.075377,C*d,Downstream migration probability,0.332225914,probability,scatter
c1,Cumulative degree days,1934.673367,C*d,Downstream migration probability,0.323920266,probability,scatter
c1,Cumulative degree days,1866.834171,C*d,Downstream migration probability,0.368770764,probability,scatter
c1,Cumulative degree days,1904.522613,C*d,Downstream migration probability,0.358803987,probability,scatter
c1,Cumulative degree days,1885.678392,C*d,Downstream migration probability,0.388704319,probability,scatter
c1,Cumulative degree days,1949.748744,C*d,Downstream migration probability,0.360465116,probability,scatter
c1,Cumulative degree days,1968.592965,C*d,Downstream migration probability,0.34717608,probability,scatter
c1,Cumulative degree days,2013.819095,C*d,Downstream migration probability,0.355481728,probability,scatter
c1,Cumulative degree days,1976.130653,C*d,Downstream migration probability,0.390365449,probability,scatter
c1,Cumulative degree days,1859.296482,C*d,Downstream migration probability,0.411960133,probability,scatter
c1,Cumulative degree days,1802.763819,C*d,Downstream migration probability,0.448504983,probability,scatter
c1,Cumulative degree days,1855.527638,C*d,Downstream migration probability,0.468438538,probability,scatter
c1,Cumulative degree days,1915.829146,C*d,Downstream migration probability,0.476744186,probability,scatter
c1,Cumulative degree days,2047.738693,C*d,Downstream migration probability,0.401993355,probability,scatter
c1,Cumulative degree days,2047.738693,C*d,Downstream migration probability,0.42358804,probability,scatter
c1,Cumulative degree days,2006.281407,C*d,Downstream migration probability,0.440199336,probability,scatter
c1,Cumulative degree days,1983.668342,C*d,Downstream migration probability,0.448504983,probability,scatter
c1,Cumulative degree days,2074.120603,C*d,Downstream migration probability,0.446843854,probability,scatter
c1,Cumulative degree days,2070.351759,C*d,Downstream migration probability,0.476744186,probability,scatter
c1,Cumulative degree days,2130.653266,C*d,Downstream migration probability,0.458471761,probability,scatter
c1,Cumulative degree days,2164.572864,C*d,Downstream migration probability,0.443521595,probability,scatter
c1,Cumulative degree days,2243.718593,C*d,Downstream migration probability,0.441860465,probability,scatter
c1,Cumulative degree days,2236.180905,C*d,Downstream migration probability,0.478405316,probability,scatter
c1,Cumulative degree days,2232.41206,C*d,Downstream migration probability,0.496677741,probability,scatter
c1,Cumulative degree days,2187.18593,C*d,Downstream migration probability,0.496677741,probability,scatter
c1,Cumulative degree days,2160.80402,C*d,Downstream migration probability,0.50166113,probability,scatter
c1,Cumulative degree days,2130.653266,C*d,Downstream migration probability,0.511627907,probability,scatter
c1,Cumulative degree days,2040.201005,C*d,Downstream migration probability,0.514950166,probability,scatter
c1,Cumulative degree days,1942.211055,C*d,Downstream migration probability,0.523255814,probability,scatter
c1,Cumulative degree days,1961.055276,C*d,Downstream migration probability,0.549833887,probability,scatter
c1,Cumulative degree days,1945.979899,C*d,Downstream migration probability,0.57807309,probability,scatter
c1,Cumulative degree days,1859.296482,C*d,Downstream migration probability,0.641196013,probability,scatter
c1,Cumulative degree days,2055.276382,C*d,Downstream migration probability,0.65282392,probability,scatter
c1,Cumulative degree days,2108.040201,C*d,Downstream migration probability,0.621262458,probability,scatter
c1,Cumulative degree days,2111.809045,C*d,Downstream migration probability,0.594684385,probability,scatter
c1,Cumulative degree days,2047.738693,C*d,Downstream migration probability,0.549833887,probability,scatter
c1,Cumulative degree days,2092.964824,C*d,Downstream migration probability,0.556478405,probability,scatter
c1,Cumulative degree days,2160.80402,C*d,Downstream migration probability,0.549833887,probability,scatter
c1,Cumulative degree days,2187.18593,C*d,Downstream migration probability,0.534883721,probability,scatter
c1,Cumulative degree days,2190.954774,C*d,Downstream migration probability,0.599667774,probability,scatter
c1,Cumulative degree days,2435.929648,C*d,Downstream migration probability,0.305647841,probability,scatter
c1,Cumulative degree days,2533.919598,C*d,Downstream migration probability,0.350498339,probability,scatter
c1,Cumulative degree days,2334.170854,C*d,Downstream migration probability,0.53820598,probability,scatter
c1,Cumulative degree days,2451.005025,C*d,Downstream migration probability,0.541528239,probability,scatter
c1,Cumulative degree days,2405.778894,C*d,Downstream migration probability,0.553156146,probability,scatter
c1,Cumulative degree days,2390.703518,C*d,Downstream migration probability,0.569767442,probability,scatter
c1,Cumulative degree days,2428.39196,C*d,Downstream migration probability,0.57807309,probability,scatter
c1,Cumulative degree days,2405.778894,C*d,Downstream migration probability,0.598006645,probability,scatter
c1,Cumulative degree days,2288.944724,C*d,Downstream migration probability,0.57807309,probability,scatter
c1,Cumulative degree days,2266.331658,C*d,Downstream migration probability,0.591362126,probability,scatter
c1,Cumulative degree days,2292.713568,C*d,Downstream migration probability,0.606312292,probability,scatter
c1,Cumulative degree days,2300.251256,C*d,Downstream migration probability,0.622923588,probability,scatter
c1,Cumulative degree days,2281.407035,C*d,Downstream migration probability,0.627906977,probability,scatter
c1,Cumulative degree days,2300.251256,C*d,Downstream migration probability,0.636212625,probability,scatter
c1,Cumulative degree days,2379.396985,C*d,Downstream migration probability,0.641196013,probability,scatter
c1,Cumulative degree days,2398.241206,C*d,Downstream migration probability,0.629568106,probability,scatter
c1,Cumulative degree days,2228.643216,C*d,Downstream migration probability,0.671096346,probability,scatter
c1,Cumulative degree days,2266.331658,C*d,Downstream migration probability,0.671096346,probability,scatter
c1,Cumulative degree days,2285.175879,C*d,Downstream migration probability,0.657807309,probability,scatter
c1,Cumulative degree days,2322.864322,C*d,Downstream migration probability,0.6910299,probability,scatter
c1,Cumulative degree days,2341.708543,C*d,Downstream migration probability,0.6910299,probability,scatter
c1,Cumulative degree days,2375.628141,C*d,Downstream migration probability,0.677740864,probability,scatter
c1,Cumulative degree days,2206.030151,C*d,Downstream migration probability,0.742524917,probability,scatter
c1,Cumulative degree days,2356.78392,C*d,Downstream migration probability,0.744186047,probability,scatter
c1,Cumulative degree days,2383.165829,C*d,Downstream migration probability,0.744186047,probability,scatter
c1,Cumulative degree days,2266.331658,C*d,Downstream migration probability,0.8089701,probability,scatter
c1,Cumulative degree days,2481.155779,C*d,Downstream migration probability,0.717607973,probability,scatter
c1,Cumulative degree days,2548.994975,C*d,Downstream migration probability,0.65282392,probability,scatter
c1,Cumulative degree days,2628.140704,C*d,Downstream migration probability,0.602990033,probability,scatter
c1,Cumulative degree days,2673.366834,C*d,Downstream migration probability,0.639534884,probability,scatter
c1,Cumulative degree days,2812.81407,C*d,Downstream migration probability,0.651162791,probability,scatter
c1,Cumulative degree days,2756.281407,C*d,Downstream migration probability,0.715946844,probability,scatter
c1,Cumulative degree days,2579.145729,C*d,Downstream migration probability,0.764119601,probability,scatter
c1,Cumulative degree days,2552.763819,C*d,Downstream migration probability,0.789036545,probability,scatter
c1,Cumulative degree days,2518.844221,C*d,Downstream migration probability,0.785714286,probability,scatter
